"n1","n2","Welch","EV_test","VREPB","DVEPB","B_F"
3,3,0.0415670855316043,0.105849552840102,0.0928657331341259,0.0904272324491693,0
3,4,0.0829199541619665,0.144825789112945,0.0928033799253368,0.0916845009352624,0
3,5,0.132840686585722,0.178711900805495,0.092328493164981,0.0921611462470571,0
3,6,0.182948043502012,0.2115052284126,0.0867259465287524,0.0930573935568506,0
3,7,0.22011807728487,0.239280853479523,0.0908639893835269,0.0945203163237525,0
3,8,0.260254266238928,0.272950112569637,0.0937899519663582,0.095553351018399,0
3,9,0.290095674668905,0.294376396025011,0.0906602046446281,0.0932827135459975,0.0025
3,10,0.309914319679913,0.31677469819815,0,0,0
3,11,0.332283825895694,0.339980441536685,0,0,0
3,12,0.346861652376724,0.35537607274249,0,0,0
4,4,0.0690784981769661,0.113737678209405,0,0.0889957616222891,0
4,5,0.0897931241997513,0.137712679315719,0,0.0884335006055977,0
4,6,0.109792284146937,0.161196256270737,0,0.0894683858043886,0
4,7,0.13065412764856,0.18893866972754,0,0.0885799229507485,0
4,8,0.142706680643665,0.216660115539956,0,0.0928646870920745,0
4,9,0.160656076864457,0.238531081368525,0,0.0888541313895091,0
4,10,0.169096125013946,0.258339623552053,0,0.0940351869559822,0
4,11,0.176222732076155,0.277301304686039,0,0,0
4,12,0.182110490097946,0.294626034214671,0,0,0
4,13,0.188544453240943,0.310450808306911,0,0,0
5,5,0.077168214647316,0.108167480156601,0.090390965741811,0.0910276726259856,0.0167588103956007
5,6,0.0903630555194531,0.126173718102608,0.0855729826033314,0.0877208202956315,0.0252835118735678
5,7,0.0998260705507183,0.148670748094099,0.0878744389789705,0.0951540944613437,0.0329677534415682
5,8,0.107423093510006,0.169375714300124,0.0913671306271915,0.0932161354201613,0.0359084756526304
5,9,0.118525606713067,0.19681924247733,0.0874938918767552,0.0925822942746694,0.0434699508159064
5,10,0.124511735909097,0.210220546469675,0.094262626006995,0.0926104640142647,0.04554805119586
5,11,0.131729480580179,0.234023872759585,0.0930855137540791,0.089648476591464,0.051035571750584
5,12,0.134999628831154,0.245341132169486,0,0,0
5,13,0.140560403267001,0.263917639641693,0,0,0
5,14,0.141728708025931,0.277879038883165,0,0,0
6,6,0.082604011336291,0.106537089542015,0,0.092306370221161,0
6,7,0.0868379846016223,0.121157325169874,0,0.0905778585611852,0
6,8,0.0964980342286005,0.139147768788959,0,0.0929167654703524,0
6,9,0.103880881279216,0.160720811336518,0,0.0952349487069207,0
6,10,0.107828053061147,0.178546992222726,0,0.0930460630929109,0
6,11,0.111127568256939,0.195835796443397,0,0.0939213102971405,0
6,12,0.113928687657778,0.210917360780545,0,0.0880210618390657,0
6,13,0.116404610203017,0.230974167141992,0,0,0
6,14,0.119218049979449,0.240602310881794,0,0,0
6,15,0.123389241998053,0.260261379236493,0,0,0
7,7,0.0851112157007404,0.103225343769313,0,0.086523429428057,0.0356625684664043
7,8,0.0880158546204787,0.11967327346023,0,0.0892130877842252,0.0425454547122789
7,9,0.0953400733751544,0.131421195240859,0,0.0925513788091618,0.0460500717601392
7,10,0.0978225705832306,0.151865283184291,0,0.0912927160876573,0.053955498956855
7,11,0.0995638875701517,0.166726137535726,0,0.0870640849839122,0.0559509986310809
7,12,0.104772362921033,0.182084249556728,0,0.0932721770055856,0.0571271499159442
7,13,0.105808064439845,0.195300064380841,0,0.0912337305103446,0.055529445492812
7,14,0.108640037923261,0.211406954899529,0,0,0
7,15,0.108502193032437,0.224946846056839,0,0,0
7,16,0.109994999918951,0.239272279081137,0,0,0
8,8,0.0850538704142081,0.100318577577618,0,0.088176612513114,0
8,9,0.0913005339502073,0.116245555440033,0,0.0886822106188042,0
8,10,0.095219142236647,0.128936529281651,0,0.0948260758310855,0
8,11,0.0967917369140526,0.142237847043875,0,0.0904870533323379,0
8,12,0.0987620783819197,0.157622702296219,0,0,0
8,13,0.101580185345539,0.171786002740449,0,0,0
8,14,0.101969650210171,0.182916494926149,0,0,0
8,15,0.102423386770311,0.196177000389798,0,0,0
8,16,0.106037762495083,0.207072806735193,0,0,0
8,17,0.106382575462117,0.220963463725168,0,0,0
9,9,0.0909187447434394,0.104195067925528,0,0,0
9,10,0.0910930492632293,0.113027380694791,0,0,0
9,11,0.0928941995592332,0.124323349568169,0,0,0
9,12,0.0930523315154743,0.136077292348302,0,0,0
9,13,0.094263200417201,0.146406539577771,0,0,0
9,14,0.0971463572302252,0.157642307491819,0,0,0
9,15,0.0990514903771475,0.170658736489897,0,0,0
9,16,0.0987073365528865,0.18219076462029,0,0,0
9,17,0.10022084265226,0.192903571335905,0,0,0
9,18,0.10149666199155,0.203351171259873,0,0,0
